"";"id";"dataReferencia";"valor";"quantidadeBeneficiados";"municipio.codigoIBGE";"municipio.nomeRegiao";"municipio.uf.nome";"nome_munic"
"1";105601876;"2020-04-01";2173800;3290;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"2";113401997;"2020-05-01";2286000;3413;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"3";104102015;"2020-06-01";1762200;2638;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"4";101001570;"2020-07-01";2298000;3458;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"5";107601577;"2020-08-01";2122800;3195;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"6";114201631;"2020-09-01";1189317;3288;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"7";107801687;"2020-10-01";827487;3123;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"8";112301595;"2020-11-01";1012846;3179;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"9";102801815;"2020-12-01";978848;3133;"2900108";"NORDESTE";"BAHIA";"Abaíra"
"10";109901609;"2020-04-01";5317200;7284;"2900207";"NORDESTE";"BAHIA";"Abaré"
"11";110601720;"2020-05-01";5479200;7475;"2900207";"NORDESTE";"BAHIA";"Abaré"
"12";102201813;"2020-06-01";4646400;6201;"2900207";"NORDESTE";"BAHIA";"Abaré"
"13";113901757;"2020-07-01";5554200;7606;"2900207";"NORDESTE";"BAHIA";"Abaré"
"14";115102003;"2020-08-01";5211000;7112;"2900207";"NORDESTE";"BAHIA";"Abaré"
"15";112301815;"2020-09-01";2434872;6587;"2900207";"NORDESTE";"BAHIA";"Abaré"
"16";112201622;"2020-10-01";1761715;6222;"2900207";"NORDESTE";"BAHIA";"Abaré"
"17";102801589;"2020-11-01";2090537;6302;"2900207";"NORDESTE";"BAHIA";"Abaré"
"18";113001642;"2020-12-01";1972264;6175;"2900207";"NORDESTE";"BAHIA";"Abaré"
"19";115001610;"2020-04-01";4431000;5977;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"20";102601677;"2020-05-01";4706400;6328;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"21";111101743;"2020-06-01";3627000;4742;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"22";105101741;"2020-07-01";4678200;6351;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"23";108101936;"2020-08-01";4303800;5803;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"24";111101838;"2020-09-01";2628571;6040;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"25";103301871;"2020-10-01";1870510;5751;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"26";111701649;"2020-11-01";2284320;5893;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"27";110501587;"2020-12-01";2189121;5824;"2900306";"NORDESTE";"BAHIA";"Acajutiba"
"28";100901857;"2020-04-01";4386600;6378;"2900355";"NORDESTE";"BAHIA";"Adustina"
"29";112001838;"2020-05-01";4530600;6555;"2900355";"NORDESTE";"BAHIA";"Adustina"
"30";103401818;"2020-06-01";3739800;5365;"2900355";"NORDESTE";"BAHIA";"Adustina"
"31";109901495;"2020-07-01";4440600;6471;"2900355";"NORDESTE";"BAHIA";"Adustina"
"32";101001632;"2020-08-01";4143600;6018;"2900355";"NORDESTE";"BAHIA";"Adustina"
"33";113601719;"2020-09-01";2123604;6035;"2900355";"NORDESTE";"BAHIA";"Adustina"
"34";110701588;"2020-10-01";1609808;5851;"2900355";"NORDESTE";"BAHIA";"Adustina"
"35";112101636;"2020-11-01";1897563;5946;"2900355";"NORDESTE";"BAHIA";"Adustina"
"36";111701801;"2020-12-01";1847698;5924;"2900355";"NORDESTE";"BAHIA";"Adustina"
"37";108001838;"2020-04-01";4164600;5833;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"38";113401928;"2020-05-01";4443600;6155;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"39";103801812;"2020-06-01";3544200;4848;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"40";104501982;"2020-07-01";4465200;6268;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"41";109901809;"2020-08-01";4161600;5804;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"42";109301564;"2020-09-01";2189808;5770;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"43";105501617;"2020-10-01";1552314;5511;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"44";109401669;"2020-11-01";1864781;5545;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"45";114401690;"2020-12-01";1783781;5476;"2900405";"NORDESTE";"BAHIA";"Água Fria"
"46";106901877;"2020-04-01";2136000;3362;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"47";107401862;"2020-05-01";2286600;3552;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"48";107401554;"2020-06-01";1684800;2628;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"49";106301560;"2020-07-01";2267400;3545;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"50";113201622;"2020-08-01";2085000;3271;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"51";109501614;"2020-09-01";1217379;3224;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"52";105501700;"2020-10-01";801400;3013;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"53";112101705;"2020-11-01";996969;3105;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"54";102101767;"2020-12-01";1013462;3080;"2900504";"NORDESTE";"BAHIA";"Érico Cardoso"
"55";103101935;"2020-04-01";1122000;1570;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"56";112001510;"2020-05-01";1188600;1648;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"57";105801521;"2020-06-01";882000;1181;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"58";104501734;"2020-07-01";1192800;1669;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"59";105101567;"2020-08-01";1081200;1494;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"60";113301649;"2020-09-01";651766;1499;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"61";108201809;"2020-10-01";442512;1388;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"62";108801844;"2020-11-01";548895;1433;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"63";114601807;"2020-12-01";530688;1417;"2900603";"NORDESTE";"BAHIA";"Aiquara"
"64";102501679;"2020-04-01";37732800;50651;"2900702";"NORDESTE";"BAHIA";"Alagoinhas"
"65";103801773;"2020-05-01";41461800;55669;"2900702";"NORDESTE";"BAHIA";"Alagoinhas"
"66";101101857;"2020-06-01";29193000;37951;"2900702";"NORDESTE";"BAHIA";"Alagoinhas"
"67";106001857;"2020-07-01";41943600;57018;"2900702";"NORDESTE";"BAHIA";"Alagoinhas"
